,0
860,66.86
861,12.08
862,85.71
863,36.11
864,16.45
865,25.65
866,111.51
867,2.57
868,51.02
869,19.535
870,37.68
871,0.985
872,8.28
873,17.195
874,37.11
875,12.13
876,14.28
877,30.12
878,29.47
879,37.0
880,133.93
881,30.23
882,40.07
883,9.44
884,30.15
885,15.05
886,42.17
887,24.17
888,21.26
889,68.48
890,3.29
891,214.49
892,25.2818
893,28.91
894,0.4401
895,18.94
896,14.97
897,67.97
898,15.605
899,2.4
900,79.56
901,8.87
902,3031.0
903,7.3
904,26.64
905,21.94
906,24.5
907,8.51
908,31.07
909,152.91
910,10.9
911,3.59
912,97.95
913,64.0
914,60.08
915,4.35
916,49.25
917,23.64
918,26.83
919,192.84
920,25.64
921,25.6
922,229.63
923,51.43
924,19.2
925,12.4
926,51.92
927,23.7
928,74.97
929,10.0
930,27.25
931,9.07
932,10.04
933,34.23
934,97.1
935,12.09
936,19.035
937,8.65
938,17.36
939,0.88
940,115.62
941,209.7
942,40.09
943,27.11
944,26.2
945,34.8
946,8.75
947,9.52
948,20.78
949,21.05
950,15.61
951,12.2
952,79.74
953,7.45
954,16.45
955,1.28
956,303.44
957,10.18
958,100.81
959,86.43
960,13.0
961,49.92
962,6.55
963,62.37
964,3.8
965,3.21
966,44.2
967,28.08
968,15.63
969,45.85
970,39.77
971,2.07
972,22.0
973,17.79
974,5.81
975,82.3
976,9.925
977,24.2601
978,33.56
979,20.09
980,44.3
981,98.98
982,1.28
983,50.26
984,6.33
985,43.8
986,39.84
987,32.51
988,146.13
989,21.5
990,5.9
991,4.48
992,34.87
993,77.15
994,52.49
995,31.4713
996,25.0774
997,89.55
998,12.58
999,623.65
1000,39.65
1001,28.63
1002,43.78
1003,9.3
1004,13.0
1005,17.67
1006,139.51
1007,2.05
1008,9.91
1009,19.81
1010,124.17
1011,3.89
1012,72.18
1013,2.42
1014,10.31
1015,3.06
1016,43.44
1017,4.81
1018,19.06
1019,33.98
1020,59.01
1021,20.03
1022,87.51
1023,18.95
1024,1.56
1025,21.53
1026,25.1
1027,116.17
1028,24.55
1029,28.06
1030,18.83
1031,3.44
1032,20.0
1033,12.99
1034,23.9564
1035,340.25
1036,12.92
1037,1.7
1038,5.91
1039,31.96
1040,38.95
1041,42.68
1042,20.22
1043,16.66
1044,1.72
1045,56.32
1046,21.88
1047,25.25
1048,7.75
1049,8.4669
1050,42.75
1051,372.5
1052,5.949
1053,4.4
1054,9.65
1055,32.5
1056,229.92
1057,29.17
1058,72.1
1059,7.46
1060,22.19
1061,105.85
1062,88.54
1063,47.03
1064,25.54
1065,0.647
1066,205.0604
1067,1.185
1068,17.24
1069,15.33
1070,23.86
1071,241.42
1072,7.3
1073,159.12
1074,15.81
1075,5.6
1076,3.76
1077,7.39
1078,3.21
1079,9.2
1080,13.83
1081,33.95
1082,11.5
1083,4.03
1084,10.61
1085,4.075
1086,6.9762
1087,4.72
1088,16.07
1089,38.64
1090,37.31
1091,68.56
1092,28.86
1093,19.33
1094,26.3
1095,7.65
1096,6.34
1097,306.0
1098,52.93
1099,3.15
1100,35.47
1101,9.52
1102,64.04
1103,11.14
1104,51.01
1105,1.24
1106,410.27
1107,12.07
1108,126.25
1109,22.18
1110,8.93
1111,1.38
1112,37.71
1113,53.5
1114,97.71
1115,7.14
1116,39.9
1117,35.7
1118,255.33
1119,6.58
1120,2.85
1121,489.75
1122,15.1
1123,15.45
1124,2.58
1125,56.33
1126,24.9
1127,3.56
1128,20.59
1129,28.0937
1130,5.44
1131,9.16
1132,0.437
1133,27.52
1134,58.48
1135,37.14
1136,33.83
1137,46.57
1138,15.52
1139,3.07
1140,97.5
1141,10.12
1142,67.69
1143,25.55
1144,0.5412
1145,77.66
1146,2.57
1147,15.51
1148,6.22
1149,7.46
1150,17.93
1151,15.97
1152,0.9202
1153,17.5
1154,13.23
1155,14.78
1156,3.495
1157,3.37
1158,26.68
1159,31.38
1160,5.72
1161,34.87
1162,3.4704
1163,11.29
1164,116.09
1165,21.6
1166,16.46
1167,15.02
1168,47.81
1169,9.04
1170,147.35
1171,16.9
1172,24.1
1173,42.68
1174,29.47
1175,75.91
1176,4.75
1177,24.4
1178,28.46
1179,5.8
1180,2.2613
1181,131.8
1182,15.5
1183,27.31
1184,11.45
1185,1.21
1186,12.46
1187,50.17
1188,2.11
1189,105.2
1190,11.02
1191,13.24
1192,3.1345
1193,32.91
1194,1.47
1195,11.955
1196,12.47
1197,19.95
1198,0.8012
1199,64.4247
1200,76.91
1201,3.22
1202,41.61
1203,49.0
1204,2.92
1205,0.7602
1206,66.84
1207,20.8
1208,16.13
1209,51.78
1210,2.49
1211,74.74
1212,0.185
1213,17.9
1214,22.7
1215,4.26
1216,31.1148
1217,100.01
1218,16.68
1219,21.93
1220,63.59
1221,35.6191
1222,44.15
1223,27.42
1224,109.84
1225,15.555
1226,27.61
1227,22.74
1228,31.55
1229,3.15
1230,14.0
1231,388.55
1232,86.64
1233,74.0
1234,16.55
1235,27.95
1236,50.2
1237,12.56
1238,190.0418
1239,8.75
1240,2.06
1241,14.81
1242,49.66
1243,22.0
1244,81.25
1245,16.25
1246,74.21
1247,41.59
1248,6.17
1249,25.45
1250,1.21
1251,8.66
1252,11.52
1253,5.89
1254,42.88
1255,7.14
1256,14.95
1257,22.1
1258,1.52
1259,52.9
1260,5.64
1261,75.63
1262,69.11
1263,110.91
1264,7.6
1265,50.26
1266,11.72
1267,27.1434
1268,5.3825
1269,97.62
1270,140.04
1271,13.45
1272,9.65
1273,15.94
1274,26.21
1275,28.6
1276,13.15
1277,2.08
1278,92.48
1279,52.79
1280,7.18
1281,6.31
1282,19.8
1283,22.24
1284,11.34
1285,59.18
1286,10.13
1287,7.24
1288,17.44
1289,7.46
1290,65.23
1291,17.38
1292,8.65
1293,73.84
1294,7.89
1295,58.3
1296,1.57
1297,28.41
1298,109.3
1299,1.31
1300,42.98
1301,0.6
1302,29.31
1303,177.67
1304,35.8
1305,7.89
1306,19.5
1307,15.06
1308,24.75
1309,7.82
1310,19.84
1311,4.48
1312,35.08
1313,87.89
1314,26.5992
1315,74.25
1316,10.27
1317,17.99
1318,12.75
1319,146.61
1320,4.41
1321,86.28
1322,45.99
1323,17.0
1324,32.67
1325,3.75
1326,14.23
1327,78.54
1328,4.02
1329,5.05
1330,105.18
1331,27.66
1332,19.57
1333,30.55
1334,18.15
1335,160.52
1336,25.75
1337,14.07
1338,17.25
1339,53.86
1340,35.49
1341,11.16
1342,4.5661
1343,206.83
1344,25.2818
1345,1.0399
1346,30.0
1347,8.86
1348,16.55
1349,59.5
1350,14.16
1351,13.57
1352,73.02
1353,18.43
1354,80.6
1355,9.01
1356,3.92
1357,22.4253
1358,123.92
1359,51.26
1360,3.23
1361,19.9
1362,1.34
1363,1.99
1364,34.73
1365,68.74
1366,28.3
1367,68.35
1368,125.73
1369,583.7
1370,42.0
1371,1.53
1372,3.92
1373,6.83
1374,22.75
1375,34.84
1376,42.15
1377,11.43
1378,5.3
1379,13.19
1380,7.16
1381,49.41
1382,12.87
1383,11.06
1384,25.59
1385,82.18
1386,97.0
1387,46.03
1388,13.9
1389,1784.75
1390,23.7333
1391,16.39
1392,15.65
1393,16.45
1394,16.0058
1395,14.2914
1396,40.99
1397,36.21
1398,1.14
1399,10.2
1400,11.75
1401,30.47
1402,51.09
1403,26.89
1404,36.1
1405,20.59
1406,1722.42
1407,1.24
1408,26.98
1409,1.56
1410,26.35
1411,16.76
1412,70.54
1413,4.44
1414,70.5
1415,15.96
1416,19.54
1417,9.5
1418,4.61
1419,8.28
1420,22.09
1421,4.62
1422,4.66
1423,5.24
1424,18.0
1425,139.81
1426,21.2
1427,15.2
1428,69.21
1429,2.03
1430,36.9
1431,1.64
1432,10.17
1433,56.815
1434,11.1
1435,49.0
1436,12.28
1437,3.41
1438,3.56
1439,11.17
1440,24.16
1441,95.0
1442,8.8
1443,18.65
1444,16.76
1445,37.14
1446,20.04
1447,2.46
1448,25.42
1449,55.32
1450,129.71
1451,26.33
1452,51.295
1453,5.8
1454,65.24
1455,149.32
1456,76.8
1457,2.41
1458,127.68
1459,73.15
1460,127.07
1461,1.38
1462,33.53
1463,10.63
1464,9.7295
1465,3.43
1466,33.73
1467,28.14
1468,17.55
1469,11.43
1470,49.63
1471,104.99
1472,24.55
1473,9.04
1474,18.335
1475,42.22
1476,6.2
1477,25.015
1478,5.25
1479,27.71
1480,3.43
1481,157.76
1482,43.63
1483,32.4
1484,309.0
1485,38.54
1486,14.4
1487,7.95
1488,59.17
1489,2.05
1490,2.84
1491,33.61
1492,6.13
1493,35.79
1494,19.1515
1495,1.37
1496,47.78
1497,2.91
1498,43.25
1499,9.98
1500,3.0
1501,24.05
1502,259.78
1503,1.23
1504,8.94
1505,25.28
1506,92.44
1507,122.67
1508,8.21
1509,0.11
1510,10.7
1511,7.75
1512,11.72
1513,15.88
1514,1.3401
1515,820.1
1516,25.85
1517,5.38
1518,13.58
1519,40.77
1520,3.46
1521,0.16
1522,83.52
1523,15.92
1524,9.499
1525,3.92
1526,478.92
1527,34.25
1528,80.01
1529,3.87
1530,14.54
1531,44.25
1532,1.63
1533,6.52
1534,24.23
1535,49.72
1536,17.94
1537,12.88
1538,80.5
1539,26.35
1540,56.13
1541,112.2
1542,23.19
1543,128.88
1544,17.25
1545,44.95
1546,6.97
1547,9.9
1548,15.07
1549,4.52
1550,3.56
1551,8.359
1552,51.46
1553,9.6
1554,10.13
1555,19.79
1556,33.75
1557,8.0
1558,17.63
1559,8.68
1560,1.19
1561,19.83
1562,9.81
1563,1.35
1564,4.1
1565,19.24
1566,25.55
1567,25.48
1568,54.21
1569,0.4255
1570,14.22
1571,21.6
1572,84.82
1573,16.05
1574,24.54
1575,8.945
1576,27.65
1577,751.5
1578,30.0
1579,28.52
1580,138.87
1581,0.74
1582,27.88
1583,16.66
1584,3.02
1585,1.08
1586,77.7633
1587,23.35
1588,1.3
1589,138.23
1590,7.0
1591,25.48
1592,6.89
1593,6.5
1594,2.62
1595,13.89
1596,15.03
1597,4.7
1598,61.19
1599,2227.27
1600,16.46
1601,209.46
1602,13.73
1603,10.1952
1604,14.63
1605,68.66
1606,48.48
1607,14.85
1608,3.86
1609,19.59
1610,27.03
1611,46.72
1612,20.009
1613,16.31
1614,0.65
1615,15.4
1616,13.9
1617,78.14
1618,39.08
1619,0.583
1620,23.51
1621,6.55
1622,18.1
1623,837.11
1624,2.48
1625,30.55
1626,4.96
1627,11.4
1628,30.75
1629,16.56
1630,152.91
1631,120.73
1632,25.0
1633,19.1
1634,53.53
1635,1.34
1636,24.1664
1637,53.0
1638,12.49
1639,33.36
1640,56.51
1641,20.9
1642,31.65
1643,52.33
1644,196.85
1645,50.83
1646,21.49
1647,92.55
1648,13.775
1649,0.87
1650,4.61
1651,30.8
1652,59.01
1653,33.09
1654,17.99
1655,12.05
1656,0.81
1657,23.58
1658,56.74
1659,4.89
1660,3.78
1661,550.43
1662,14.91
1663,17.0
1664,14.6
1665,32.62
1666,27.31
1667,16.02
1668,10.15
1669,10.87
1670,10.97
1671,8.95
1672,32.11
1673,36.21
1674,8.4
1675,22.51
1676,21.83
1677,188.01
1678,0.22
1679,138.63
1680,28.25
1681,5.78
1682,2.89
1683,50.27
1684,117.2
1685,62.87
1686,3.69
1687,1.56
1688,21.44
1689,37.28
1690,12.62
1691,12.22
1692,29.82
1693,76.7
1694,14.29
1695,21.39
1696,26.2
1697,14.21
1698,7.85
1699,13.33
1700,16.53
1701,105.2
1702,24.0
1703,45.1
1704,23.94
1705,6.48
1706,39.81
1707,20.26
1708,4.85
1709,65.62
1710,43.96
1711,25.0
1712,75.75
1713,0.3996
1714,90.79
1715,7.25
1716,15.83
1717,13.98
1718,30.83
1719,0.75
1720,31.34
1721,2.62
1722,0.5555
1723,48.09
1724,27.31
1725,22.23
1726,7.87
1727,28.99
1728,7.15
1729,40.21
1730,47.11
1731,28.22
1732,92.28
1733,24.5
1734,33.07
1735,1200.82
1736,62.71
1737,17.98
1738,10.36
1739,36.83
1740,57.2
1741,5.62
1742,8.5
1743,26.88
1744,14.16
1745,20.6
1746,2.94
1747,9.7501
1748,1.96
1749,3.43
1750,26.1155
1751,2.08
1752,7.1
1753,25.06
1754,306.37
1755,11.92
1756,90.8
1757,12.1
1758,41.6
1759,27.57
1760,20.2
1761,101.0
1762,163.61
1763,16.9
1764,27.87
1765,8.1
1766,34.74
1767,178.56
1768,34.54
1769,6.5337
1770,177.91
1771,32.8971
1772,18.78
1773,66.49
1774,8.359
1775,68.33
1776,153.94
1777,41.95
1778,15.84
1779,38.2973
1780,3.8
1781,15.4806
1782,0.898
1783,36.699
1784,27.38
1785,1.79
1786,27.95
1787,10.1
1788,70.25
1789,71.8
1790,17.99
1791,62.08
1792,7.19
1793,23.42
1794,322.58
1795,70.0
1796,31.21
1797,105.35
1798,20.549
1799,13.7
1800,14.94
1801,4.7
1802,32.51
1803,21.76
1804,41.99
1805,54.81
1806,7.22
1807,24.86
1808,194.79
1809,11.09
1810,5.84
1811,66.63
1812,33.35
1813,18.88
1814,25.07
1815,21.0
1816,1.99
1817,6.29
1818,39.21
1819,9.67
1820,0.8998
1821,210.021
1822,3.02
1823,12.46
1824,93.11
1825,157.58
1826,15.06
1827,63.79
1828,0.91
1829,1.66
1830,10.48
1831,20.58
